
 Version: 2.1
 Chunks: 1
 Start: 2026-04-01 11:36:19 (UTC)
 Duration: 9 s

 Event Type                                   Count  Size (bytes) 
==================================================================
 jdk.GCPhaseParallel                          24143        590621
 jdk.PromoteObjectInNewPLAB                    4881         80367
 jdk.ObjectAllocationSample                    2512         37691
 jdk.TenuringDistribution                      1035         12093
 jdk.NativeLibrary                              853         72896
 jdk.ModuleExport                               650          6324
 jdk.BooleanFlag                                518         14785
 jdk.SystemProcess                              419         41248
 jdk.NativeMethodSample                         383          4210
 jdk.ActiveSetting                              337          9347
 jdk.GCPhasePauseLevel1                         287         11330
 jdk.MetaspaceChunkFreeListSummary              280          5040
 jdk.GCReferenceStatistics                      280          2806
 jdk.LongFlag                                   197          6192
 jdk.PromoteObjectOutsidePLAB                   194          3021
 jdk.CheckPoint                                 170       1006054
 jdk.ModuleRequire                              154          1386
 jdk.Deoptimization                             147          3617
 jdk.UnsignedLongFlag                           144          4632
 jdk.GCHeapSummary                              140          5180
 jdk.MetaspaceSummary                           140          7132
 jdk.G1HeapSummary                              140          2875
 jdk.ExecuteVMOperation                         113          1781
 jdk.SafepointBegin                              89          1201
 jdk.ExecutionSample                             83           910
 jdk.G1MMU                                       71           923
 jdk.GCCPUTime                                   71           883
 jdk.GCPhasePause                                71          1574
 jdk.GarbageCollection                           70          1340
 jdk.YoungGarbageCollection                      69           831
 jdk.G1GarbageCollection                         69           831
 jdk.EvacuationInformation                       69          1731
 jdk.G1EvacuationYoungStatistics                 69          1673
 jdk.G1EvacuationOldStatistics                   69          1871
 jdk.G1BasicIHOP                                 69          2607
 jdk.G1AdaptiveIHOP                              69          2681
 jdk.ClassLoaderStatistics                       54          1185
 jdk.ThreadPark                                  48          1724
 jdk.InitialSecurityProperty                     48          3720
 jdk.InitialEnvironmentVariable                  42          2403
 jdk.JavaErrorThrow                              35          4751
 jdk.GCPhasePauseLevel2                          31          1180
 jdk.StringFlag                                  29           899
 jdk.JavaMonitorWait                             28           709
 jdk.ThreadAllocationStatistics                  28           255
 jdk.ThreadStart                                 24           281
 jdk.ThreadEnd                                   19           171
 jdk.InitialSystemProperty                       19         10221
 jdk.OldObjectSample                             16           478
 jdk.ThreadSleep                                 11           167
 jdk.ThreadCPULoad                               11           176
 jdk.DoubleFlag                                  11           421
 jdk.JavaThreadStatistics                         8            88
 jdk.ClassLoadingStatistics                       8            80
 jdk.CompilerStatistics                           8           222
 jdk.UnsignedIntFlag                              8           242
 jdk.ExceptionStatistics                          8           109
 jdk.Compilation                                  7           192
 jdk.CPULoad                                      7           133
 jdk.GCPhaseConcurrent                            6           252
 jdk.CodeCacheStatistics                          6           165
 jdk.IntFlag                                      6           228
 jdk.GCPhaseConcurrentLevel1                      4           148
 jdk.MetaspaceGCThreshold                         2            32
 jdk.PhysicalMemory                               2            33
 jdk.CodeSweeperStatistics                        2            42
 jdk.GCConfiguration                              2            49
 jdk.SocketRead                                   2            99
 jdk.Metadata                                     1         95712
 jdk.MetaspaceAllocationFailure                   1            15
 jdk.OldGarbageCollection                         1            12
 jdk.Shutdown                                     1            47
 jdk.JVMInformation                               1           421
 jdk.OSInformation                                1           141
 jdk.VirtualizationInformation                    1            34
 jdk.CPUInformation                               1            70
 jdk.CPUTimeStampCounter                          1            18
 jdk.CompilerConfiguration                        1             8
 jdk.CodeCacheConfiguration                       1            40
 jdk.CodeSweeperConfiguration                     1            11
 jdk.GCSurvivorConfiguration                      1             9
 jdk.GCTLABConfiguration                          1            11
 jdk.GCHeapConfiguration                          1            24
 jdk.YoungGenerationConfiguration                 1            16
 jdk.ActiveRecording                              1           124
 jdk.DirectBufferStatistics                       1            23
 jdk.JavaMonitorEnter                             0             0
 jdk.JavaMonitorInflate                           0             0
 jdk.SyncOnValueBasedClass                        0             0
 jdk.BiasedLockRevocation                         0             0
 jdk.BiasedLockSelfRevocation                     0             0
 jdk.BiasedLockClassRevocation                    0             0
 jdk.ReservedStackActivation                      0             0
 jdk.ClassLoad                                    0             0
 jdk.ClassDefine                                  0             0
 jdk.ClassRedefinition                            0             0
 jdk.RedefineClasses                              0             0
 jdk.RetransformClasses                           0             0
 jdk.ClassUnload                                  0             0
 jdk.IntFlagChanged                               0             0
 jdk.UnsignedIntFlagChanged                       0             0
 jdk.LongFlagChanged                              0             0
 jdk.UnsignedLongFlagChanged                      0             0
 jdk.DoubleFlagChanged                            0             0
 jdk.BooleanFlagChanged                           0             0
 jdk.StringFlagChanged                            0             0
 jdk.MetaspaceOOM                                 0             0
 jdk.PSHeapSummary                                0             0
 jdk.SystemGC                                     0             0
 jdk.ParallelOldGarbageCollection                 0             0
 jdk.ObjectCountAfterGC                           0             0
 jdk.PromotionFailed                              0             0
 jdk.EvacuationFailed                             0             0
 jdk.ConcurrentModeFailure                        0             0
 jdk.GCPhasePauseLevel3                           0             0
 jdk.GCPhasePauseLevel4                           0             0
 jdk.AllocationRequiringGC                        0             0
 jdk.G1HeapRegionTypeChange                       0             0
 jdk.JITRestart                                   0             0
 jdk.CompilerPhase                                0             0
 jdk.CompilationFailure                           0             0
 jdk.CompilerInlining                             0             0
 jdk.SweepCodeCache                               0             0
 jdk.CodeCacheFull                                0             0
 jdk.SafepointStateSynchronization                0             0
 jdk.SafepointCleanup                             0             0
 jdk.SafepointCleanupTask                         0             0
 jdk.SafepointEnd                                 0             0
 jdk.ObjectAllocationInNewTLAB                    0             0
 jdk.ObjectAllocationOutsideTLAB                  0             0
 jdk.DumpReason                                   0             0
 jdk.DataLoss                                     0             0
 jdk.ThreadContextSwitchRate                      0             0
 jdk.NetworkUtilization                           0             0
 jdk.SymbolTableStatistics                        0             0
 jdk.StringTableStatistics                        0             0
 jdk.PlaceholderTableStatistics                   0             0
 jdk.LoaderConstraintsTableStatistics             0             0
 jdk.ProtectionDomainCacheTableStatistics         0             0
